Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,FourW,FiveW
38, Shadab Jakati,57,55,175.5,1398,47,4/22,29.74,7.95,22.44,2,0
39, Anil Kumble,42,42,160.5,1058,45,5/5,23.51,6.57,21.44,2,1
40, Ryan Harris,37,37,138.4,1047,45,4/34,23.26,7.55,18.48,1,0
41, Shakib Al Hasan,42,41,150.3,1070,43,3/17,24.88,7.10,21.00,0,0
42, Axar Patel,45,45,160.3,1185,43,4/21,27.55,7.38,22.39,1,0
43, Yusuf Pathan,134,76,184.2,1351,41,3/11,32.95,7.32,26.97,0,0
44, Chris Morris,39,39,136.0,1020,41,4/23,24.87,7.50,19.90,1,0
45, Rahul Sharma,44,44,154.4,1086,40,3/13,27.15,7.02,23.20,0,0
46, Sreenath Aravind,28,28,96.1,764,40,4/14,19.10,7.94,14.42,2,0
47, Shanthakumaran Sreesanth,44,44,146.4,1194,40,3/29,29.85,8.14,22.00,0,0
48, Parvinder Awana,33,33,124.3,1029,39,4/34,26.38,8.26,19.15,1,0
49, Iqbal Abdulla,47,46,148.2,1054,38,3/24,27.73,7.10,23.42,0,0
50, Doug Bollinger,27,27,96.0,693,37,4/13,18.72,7.21,15.56,1,0
51, Moises Henriques,45,43,124.2,996,37,3/16,26.91,8.01,20.16,0,0
52, Manpreet Gony,43,43,146.0,1255,37,3/31,33.91,8.59,23.67,0,0
53, Karn Sharma,46,46,141.4,1109,36,4/38,30.80,7.82,23.61,1,0
54, Yuvraj Singh,108,69,140.5,1032,35,4/29,29.48,7.32,24.14,2,0
55, Mitchell McClenaghan,26,26,100.2,822,35,4/21,23.48,8.19,17.20,1,0
56, Mitchell Starc,27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0
57, Kevon Cooper,25,25,96.0,757,33,4/26,22.93,7.88,17.45,1,0
58, Jaydev Unadkat,35,34,117.3,986,32,5/25,30.81,8.39,22.03,0,1
59, Shahbaz Nadeem,48,46,168.0,1200,31,3/16,38.70,7.14,32.51,0,0
60, Murali Kartik,56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0
61, Harshal Patel,35,33,109.5,928,31,2/12,29.93,8.44,21.25,0,0
62, Andre Russell,34,34,105.1,896,31,4/20,28.90,8.51,20.35,1,0
63, Thisara Perera,37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0
64, Varun Aaron,36,34,120.4,1056,31,3/16,34.06,8.75,23.35,0,0
65, Pradeep Sangwan,33,33,113.4,975,30,3/18,32.50,8.57,22.73,0,0
66, Azhar Mahmood,23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0
67, Imran Tahir,20,20,72.2,623,29,4/28,21.48,8.61,14.96,1,0
68, Ajit Agarkar,42,42,130.2,1151,29,3/25,39.68,8.83,26.96,0,0
69, Daniel Vettori,34,34,129.3,879,28,3/15,31.39,6.78,27.75,0,0
70, Dirk Nannes,29,29,107.4,785,28,3/27,28.03,7.29,23.07,0,0
71, Pravin Tambe,33,33,110.0,853,28,4/20,30.46,7.75,23.57,1,0
72, Amit Singh,23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0
73, MF Maharoof,20,20,70.0,520,27,3/34,19.25,7.42,15.55,0,0
74, Angelo Mathews,46,42,126.5,1023,27,4/19,37.88,8.06,28.18,1,0
75, Wayne Parnell,26,26,95.2,701,26,3/27,26.96,7.35,22.00,0,0
76, Jasprit Bumrah,31,31,113.4,961,26,3/13,36.96,8.45,26.23,0,0
77, Johan Botha,34,34,115.4,800,25,3/6,32.00,6.91,27.76,0,0
78, Brett Lee,38,38,145.5,1095,25,3/15,43.80,7.50,35.00,0,0
79, Harmeet Singh Bansal,27,26,84.3,674,25,3/24,26.96,7.97,20.28,0,0
80, Suresh Raina,147,62,138.2,1010,24,2/0,42.08,7.30,34.58,0,0
81, JP Duminy,77,47,110.0,798,23,4/17,34.69,7.25,28.69,1,0
82, Brad Hogg,21,21,76.2,570,23,4/29,24.78,7.46,19.91,1,0
83, Shaun Tait,21,21,78.5,640,23,3/13,27.82,8.11,20.56,0,0
84, Sohail Tanvir,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1
85, Ben Hilfenhaus,17,17,62.0,479,22,3/27,21.77,7.72,16.90,0,0
86, Roelof van der Merwe,21,21,73.5,498,21,3/20,23.71,6.74,21.09,0,0
87, Nathan Coulter-Nile,18,17,65.3,491,21,4/20,23.38,7.49,18.71,1,0
88, Yo Mahesh,18,17,56.3,499,21,4/36,23.76,8.83,16.14,1,0
89, Andrew Symonds,39,30,87.5,674,20,3/21,33.70,7.67,26.35,0,0
90, Mitchell Marsh,20,18,52.3,414,20,4/25,20.70,7.88,15.75,1,0
91, Dimitri Mascarenhas,13,13,51.2,356,19,5/25,18.73,6.93,16.21,0,1
92, Dan Christian,23,23,78.4,638,19,2/13,33.57,8.11,24.84,0,0
93, Tim Southee,26,26,100.0,818,19,3/24,43.05,8.18,31.57,0,0
94, Chaminda Vaas,13,13,47.0,355,18,3/21,19.72,7.55,15.66,0,0
95, Ishwar Pandey,25,24,77.0,591,18,2/23,32.83,7.67,25.66,0,0
96, Rishi Dhawan,26,25,81.2,640,18,2/14,35.55,7.86,27.11,0,0
97, Chris Gayle,92,37,91.3,724,18,3/21,40.22,7.91,30.50,0,0
98, Kane Richardson,14,14,52.5,443,18,3/13,24.61,8.38,17.61,0,0
99, Mohammed Shami,31,30,95.1,843,18,2/20,46.83,8.85,31.72,0,0
100, Mustafizur Rahman,16,16,61.0,421,17,3/16,24.76,6.90,21.52,0,0
101, Stuart Binny,72,53,84.0,631,17,2/14,37.11,7.51,29.64,0,0
102, Dilhara Fernando,10,10,39.0,298,17,4/18,17.52,7.64,13.76,1,0
103, Brad Hodge,66,20,39.0,303,17,4/13,17.82,7.76,13.76,1,0
104, Dwayne Smith,64,23,48.0,419,17,4/8,24.64,8.72,16.94,1,0
105, Anureet Singh,19,18,62.4,555,17,3/23,32.64,8.85,22.11,0,0
106, Ashish Reddy,31,19,40.4,364,17,3/25,21.41,8.95,14.35,0,0
107, David Wiese,15,14,46.2,402,16,4/33,25.12,8.67,17.37,1,0
108, Rohit Sharma,142,30,55.2,440,15,4/6,29.33,7.95,22.13,1,0
109, Laxmi Ratan Shukla,48,27,52.2,447,15,3/6,29.80,8.54,20.93,0,0
110, YA Abdulla,11,11,34.5,307,15,4/31,20.46,8.81,13.93,2,0
111, Ravi Rampaul,12,12,43.4,298,14,3/31,21.28,6.82,18.71,0,0
112, Alfonso Thomas,15,15,52.3,406,14,3/22,29.00,7.73,22.50,0,0
113, Bipul Sharma,26,21,54.4,443,14,2/13,31.64,8.10,23.42,0,0
114, Pawan Negi,29,24,72.0,591,14,4/18,42.21,8.20,30.85,1,0
115, Barinder Sran,15,15,52.3,448,14,3/28,32.00,8.53,22.50,0,0
116, James Hopes,21,20,60.0,548,14,2/2,39.14,9.13,25.71,0,0
117, Shalabh Srivastava,14,14,47.0,441,14,2/20,31.50,9.38,20.14,0,0
118, Charl Langeveldt,7,7,26.0,187,13,3/15,14.38,7.19,12.00,0,0
119, Ramesh Powar,27,26,71.0,527,13,2/11,40.53,7.42,32.76,0,0
120, Sanath Jayasuriya,30,21,49.0,390,13,3/14,30.00,7.95,22.61,0,0
121, Glenn McGrath,14,14,54.0,357,12,4/29,29.75,6.61,27.00,1,0
122, Adam Zampa,5,5,17.0,115,12,6/19,9.58,6.76,8.50,0,1
123, Ankit Sharma,20,19,59.1,423,12,2/20,35.25,7.14,29.58,0,0
124, Bhargav Bhatt,17,15,49.2,397,12,4/22,33.08,8.04,24.66,1,0
125, Umar Gul,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0
126, VRV Singh,19,18,60.0,542,12,3/29,45.16,9.03,30.00,0,0
127, Ryan McLaren,18,18,59.0,542,12,2/28,45.16,9.18,29.50,0,0
128, Karanveer Singh,9,9,34.0,321,12,4/54,26.75,9.44,17.00,1,0
129, Joginder Sharma,16,15,42.4,419,12,2/27,34.91,9.82,21.33,0,0
130, Ajit Chandila,12,12,39.0,242,11,4/13,22.00,6.20,21.27,1,0
131, Shaun Pollock,13,13,46.0,301,11,3/12,27.36,6.54,25.09,0,0
132, Andrew McDonald,11,10,31.0,261,11,2/25,23.72,8.41,16.90,0,0
133, Ravi Bopara,24,14,34.2,292,11,3/31,26.54,8.50,18.72,0,0
134, Darren Sammy,22,19,39.2,350,11,4/22,31.81,8.89,21.45,1,0
135, Chris Jordan,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0
136, Pankaj Singh,20,17,50.0,468,11,2/18,42.54,9.36,27.27,0,0
137, Sourav Ganguly,59,20,46.0,363,10,2/21,36.30,7.89,27.60,0,0
138, Trent Boult,8,8,32.0,275,10,3/19,27.50,8.59,19.20,0,0
139, Veer Pratap Singh,9,9,34.0,296,10,2/31,29.60,8.70,20.40,0,0
140, Jagadeesha Suchith,14,13,41.0,368,10,2/14,36.80,8.97,24.60,0,0
141, Sachithra Senanayake,8,8,32.0,209,9,2/26,23.22,6.53,21.33,0,0
142, Ali Murtaza,12,12,44.0,313,9,3/15,34.77,7.11,29.33,0,0
143, Shane Bond,8,8,31.0,224,9,2/24,24.88,7.22,20.66,0,0
144, Shahid Afridi,10,10,30.0,225,9,3/28,25.00,7.50,20.00,0,0
145, Marlon Samuels,10,9,32.4,250,9,3/39,27.77,7.65,21.77,0,0
146, KP Appanna,14,13,36.0,286,9,4/19,31.77,7.94,24.00,1,0
147, Juan Theron,10,10,36.0,293,9,2/17,32.55,8.13,24.00,0,0
148, Kamran Khan,9,9,26.4,224,9,3/18,24.88,8.40,17.77,0,0
149, Abhishek Nayar,60,19,38.1,322,9,3/13,35.77,8.43,25.44,0,0
150, James Franklin,20,15,25.1,220,9,2/18,24.44,8.74,16.77,0,0
151, Jacob Oram,18,13,37.3,336,9,3/32,37.33,8.96,25.00,0,0
152, Beuran Hendricks,7,7,25.0,235,9,3/36,26.11,9.40,16.66,0,0
153, Ajantha Mendis,10,10,40.0,285,8,2/19,35.62,7.12,30.00,0,0
154, T Thushara,6,6,22.3,161,8,2/16,20.12,7.15,16.87,0,0
155, Scott Styris,12,11,36.0,276,8,3/32,34.50,7.66,27.00,0,0
156, Jesse Ryder,29,16,39.2,303,8,2/14,37.87,7.70,29.50,0,0
157, Ankeet Chavan,13,13,41.2,326,8,2/23,40.75,7.88,31.00,0,0
158, Anand Rajan,8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0
159, Marcus Stoinis,7,7,23.0,194,8,4/15,24.25,8.43,17.25,1,0
160, Syed Mohammad,11,11,32.0,283,8,2/15,35.37,8.84,24.00,0,0
161, David Hussey,64,26,52.5,474,8,2/2,59.25,8.97,39.62,0,0
162, Mohammad Asif,8,8,32.0,296,8,2/19,37.00,9.25,24.00,0,0
163, Makhaya Ntini,9,9,35.0,242,7,4/21,34.57,6.91,30.00,1,0
164, Kevin Pietersen,36,13,29.0,215,7,2/31,30.71,7.41,24.85,0,0
165, Aavishkar Salvi,7,7,25.0,200,7,2/19,28.57,8.00,21.42,0,0
166, Shreyas Gopal,6,6,19.1,154,7,2/25,22.00,8.03,16.42,0,0
167, Paul Valthaty,23,10,25.1,205,7,4/29,29.28,8.14,21.57,1,0
168, Carlos Brathwaite,8,8,23.1,189,7,3/47,27.00,8.15,19.85,0,0
169, Murugan Ashwin,10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0
170, Abu Nechim,10,10,35.2,303,7,2/27,43.28,8.57,30.28,0,0
171, Abhimanyu Mithun,16,16,48.0,472,7,2/37,67.42,9.83,41.14,0,0
172, P Amarnath,6,6,22.0,236,7,2/29,33.71,10.72,18.85,0,0
173, Ben Cutting,5,5,15.1,111,6,2/20,18.50,7.31,15.16,0,0
174, Krunal Pandya,12,11,31.1,236,6,2/15,39.33,7.57,31.16,0,0
175, Vikramjeet Malik,13,13,34.1,261,6,2/14,43.50,7.63,34.16,0,0
176, Suraj Randiv,8,8,29.0,223,6,2/24,37.16,7.68,29.00,0,0
177, Balachandra Akhil,15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0
178, Tirumalasetti Suman,43,11,25.0,197,6,2/14,32.83,7.88,25.00,0,0
179, Kuldeep Yadav,3,3,12.0,100,6,3/35,16.66,8.33,12.00,0,0
180, Shivil Kaushik,7,7,23.0,192,6,3/20,32.00,8.34,23.00,0,0
181, Sudeep Tyagi,14,14,34.5,295,6,2/18,49.16,8.46,34.83,0,0
182, Siddarth Kaul,11,11,34.5,296,6,2/27,49.33,8.49,34.83,0,0
183, RR Raje,10,10,23.1,209,6,2/16,34.83,9.02,23.16,0,0
184, Venugopal Rao,65,20,36.0,337,6,2/23,56.16,9.36,36.00,0,0
185, Jaskaran Singh,8,7,17.0,171,6,2/18,28.50,10.05,17.00,0,0
186, Virender Sehwag,104,15,22.4,235,6,2/18,39.16,10.36,22.66,0,0
187, Paul Collingwood,8,6,14.5,101,5,2/19,20.20,6.80,17.80,0,0
188, Nuwan Kulasekara,6,5,17.0,120,5,2/10,24.00,7.05,20.40,0,0
189, Gurkeerat Mann Singh,28,6,13.0,97,5,2/15,19.40,7.46,15.60,0,0
190, Shoaib Akhtar,3,3,7.0,54,5,4/11,10.80,7.71,8.40,1,0
191, Shrikant Wagh,8,8,17.0,137,5,3/16,27.40,8.05,20.40,0,0
192, Raiphi Gomez,13,9,16.0,129,5,2/14,25.80,8.06,19.20,0,0
193, Tillakaratne Dilshan,52,25,45.1,366,5,1/7,73.20,8.10,54.20,0,0
194, Jason Holder,11,11,36.0,306,5,2/20,61.20,8.50,43.20,0,0
195, Marchant de Lange,5,5,18.0,169,5,3/34,33.80,9.38,21.60,0,0
196, Sarabjit Ladda,9,9,23.0,224,5,2/44,44.80,9.73,27.60,0,0
197, Corey Anderson,16,11,22.0,217,5,2/18,43.40,9.86,26.40,0,0
198, Aditya Dole,3,3,11.0,112,5,2/36,22.40,10.18,13.20,0,0
199, Rahul Shukla,7,7,20.0,208,5,2/28,41.60,10.40,24.00,0,0
200, Sumit Narwal,7,6,17.4,202,5,3/36,40.40,11.43,21.20,0,0
201, Jayant Yadav,8,8,24.0,154,4,1/8,38.50,6.41,36.00,0,0
202, Domnic Joseph,6,6,14.0,101,4,2/18,25.25,7.21,21.00,0,0
203, DP Vijaykumar,9,9,25.2,199,4,1/17,49.75,7.85,38.00,0,0
204, D du Preez,2,2,7.0,56,4,3/32,14.00,8.00,10.50,0,0
205, Deepak Hooda,31,13,28.1,226,4,2/16,56.50,8.02,42.25,0,0
206, WA Mota,12,7,12.0,97,4,1/6,24.25,8.08,18.00,0,0
207, Parveez Rasool,11,11,33.0,271,4,1/20,67.75,8.21,49.50,0,0
208, Shikhar Dhawan,113,6,8.0,66,4,1/7,16.50,8.25,12.00,0,0
209, Shivam Sharma,5,5,19.0,165,4,2/26,41.25,8.68,28.50,0,0
210, P Parameswaran,5,5,15.4,137,4,2/20,34.25,8.74,23.50,0,0
211, SB Bangar,12,9,25.0,219,4,2/34,54.75,8.76,37.50,0,0
212, Virat Kohli,139,26,41.5,368,4,2/25,92.00,8.79,62.75,0,0
213, Ankit Rajpoot,6,6,15.0,133,4,1/14,33.25,8.86,22.50,0,0
214, Hardik Pandya,20,18,33.4,329,4,1/7,82.25,9.77,50.50,0,0
215, KC Cariappa,6,6,19.0,187,4,2/16,46.75,9.84,28.50,0,0
216, Glenn Maxwell,43,25,35.0,354,4,1/5,88.50,10.11,52.50,0,0
217, Yogesh Nagar,26,8,11.0,125,4,2/20,31.25,11.36,16.50,0,0
218, Dominic Thornely,6,4,7.0,40,3,2/7,13.33,5.71,14.00,0,0
219, John Hastings,3,3,9.4,66,3,2/6,22.00,6.82,19.33,0,0
220, SM Harwood,3,3,10.0,73,3,2/25,24.33,7.30,20.00,0,0
221, JM Kemp,5,5,7.2,54,3,3/12,18.00,7.36,14.66,0,0
222, Rahul Tewatia,4,4,12.0,90,3,1/17,30.00,7.50,24.00,0,0
223, Ashok Menaria,29,12,18.2,144,3,2/20,48.00,7.85,36.66,0,0
224, Doug Bracewell,1,1,4.0,32,3,3/32,10.66,8.00,8.00,0,0
225, Pradeep Sahu,5,5,17.3,146,3,2/18,48.66,8.34,35.00,0,0
226, Robin Peterson,5,4,8.0,70,3,3/37,23.33,8.75,16.00,0,0
227, Tabraiz Shamsi,4,4,16.0,147,3,1/21,49.00,9.18,32.00,0,0
228, Rajagopal Sathish,34,14,23.1,232,3,1/11,77.33,10.01,46.33,0,0
229, Gajendra Singh,4,4,14.0,141,3,1/33,47.00,10.07,28.00,0,0
230, Love Ablish,3,3,7.0,75,3,2/17,25.00,10.71,14.00,0,0
231, JJ van der Wath,3,3,12.0,129,3,2/49,43.00,10.75,24.00,0,0
232, Ryan Ninan,2,2,6.0,65,3,2/31,21.66,10.83,12.00,0,0
233, Krishmar Santokie,2,2,8.0,90,3,2/50,30.00,11.25,16.00,0,0
234, Sachin Baby,15,2,1.4,8,2,0/0,4.00,4.80,5.00,0,0
235, Michael Clarke,6,5,11.0,67,2,1/12,33.50,6.09,33.00,0,0
236, C Nanda,3,3,8.0,57,2,1/4,28.50,7.12,24.00,0,0
237, Ryan ten Doeschate,29,10,13.0,94,2,1/7,47.00,7.23,39.00,0,0
238, Samuel Badree,5,5,18.0,131,2,1/19,65.50,7.27,54.00,0,0
239, Scott Boland,2,2,7.0,54,2,2/31,27.00,7.71,21.00,0,0
240, Nayan Doshi,4,4,9.2,79,2,1/15,39.50,8.46,28.00,0,0
241, Pat Cummins,4,4,14.0,126,2,1/29,63.00,9.00,42.00,0,0
242, DNT Zoysa,3,3,11.0,99,2,1/30,49.50,9.00,33.00,0,0
243, Pawan Suyal,5,5,16.0,151,2,1/21,75.50,9.43,48.00,0,0
244, Andrew Flintoff,3,3,11.0,105,2,1/11,52.50,9.54,33.00,0,0
245, Siddharth Chitnis,11,2,6.0,60,2,2/40,30.00,10.00,18.00,0,0
246, Shoaib Malik,7,5,8.3,85,2,1/6,42.50,10.00,25.50,0,0
247, MA Khote,4,2,5.0,51,2,2/29,25.50,10.20,15.00,0,0
248, Luke Wright,7,6,11.5,124,2,1/12,62.00,10.47,35.50,0,0
249, D Kalyankrishna,3,3,8.0,87,2,1/30,43.50,10.87,24.00,0,0
250, Amit Uniyal,2,2,6.0,66,2,2/41,33.00,11.00,18.00,0,0
251, Kyle Abbott,5,5,16.0,177,2,1/38,88.50,11.06,48.00,0,0
252, Adam Gilchrist,80,1,0.1,0,1,1/0,0.00,0.00,1.00,0,0
253, Mohammad Hafeez,8,2,5.0,24,1,1/8,24.00,4.80,30.00,0,0
254, Ajinkya Rahane,95,1,1.0,5,1,0/0,5.00,5.00,6.00,0,0
255, LA Carseldine,5,1,1.0,6,1,0/0,6.00,6.00,6.00,0,0
256, SS Mundhe,1,1,1.0,6,1,1/6,6.00,6.00,6.00,0,0
257, Hanuma Vihari,22,5,6.0,38,1,1/5,38.00,6.33,36.00,0,0
258, T Henderson,2,2,6.0,40,1,1/30,40.00,6.66,36.00,0,0
259, GR Napier,1,1,4.0,27,1,1/27,27.00,6.75,24.00,0,0
260, Jeevan Mendis,3,2,5.0,36,1,1/16,36.00,7.20,30.00,0,0
261, Mandeep Singh,59,1,3.0,23,1,0/0,23.00,7.66,18.00,0,0
262, PM Sarvesh Kumar,2,2,5.0,42,1,1/18,42.00,8.40,30.00,0,0
263, Harmeet Singh,1,1,4.0,34,1,1/34,34.00,8.50,24.00,0,0
264, Clint McKay,2,2,7.0,60,1,1/36,60.00,8.57,42.00,0,0
265, SB Joshi,4,4,9.1,82,1,1/27,82.00,8.94,55.00,0,0
266, Abhishek Jhunjhunwala,21,10,14.1,129,1,1/13,129.00,9.10,85.00,0,0
267, Dwaraka Ravi Teja,32,2,3.0,28,1,0/0,28.00,9.33,18.00,0,0
268, Aaron Finch,52,5,7.1,67,1,1/11,67.00,9.34,43.00,0,0
269, Dinesh Salunkhe,6,5,7.5,78,1,1/21,78.00,9.95,47.00,0,0
270, Ashley Noffke,1,1,4.0,40,1,1/40,40.00,10.00,24.00,0,0
271, Jimmy Neesham,4,4,9.0,91,1,1/29,91.00,10.11,54.00,0,0
272, Ronit More,2,2,5.5,59,1,1/31,59.00,10.11,35.00,0,0
273, Ben Laughlin,2,2,7.0,71,1,1/25,71.00,10.14,42.00,0,0
274, Gurinder Sandhu,3,2,8.0,82,1,1/33,82.00,10.25,48.00,0,0
275, Andre Nel,1,1,3.0,31,1,1/31,31.00,10.33,18.00,0,0
276, Akshath Reddy,12,1,3.0,32,1,0/0,32.00,10.66,18.00,0,0
277, Adam Milne,1,1,4.0,43,1,1/43,43.00,10.75,24.00,0,0
278, S Vidyut,9,1,2.0,22,1,0/0,22.00,11.00,12.00,0,0
279, Lendl Simmons,22,1,3.0,34,1,0/0,34.00,11.33,18.00,0,0
280, Brett Geeves,2,2,8.0,91,1,1/50,91.00,11.37,48.00,0,0
281, TP Sudhindra,3,3,11.4,136,1,1/46,136.00,11.65,70.00,0,0
282, Manoj Tiwary,78,5,6.0,73,1,0/0,73.00,12.16,36.00,0,0
283, Cameron White,47,6,7.0,86,1,1/14,86.00,12.28,42.00,0,0
284, Shardul Thakur,1,1,3.0,38,1,1/38,38.00,12.66,18.00,0,0
285, Nitish Rana,4,1,1.0,3,0,0/0,0,3.00,0,0,0
286, Mithun Manhas,55,3,7.0,42,0,0/0,0,6.00,0,0,0
287, Nathan Rimmington,1,1,3.0,19,0,0/19,0,6.33,0,0,0
288, Sachin Rana,11,3,2.4,18,0,0/0,0,6.75,0,0,0
289, Nathan McCullum,2,2,5.0,34,0,0/0,0,6.80,0,0,0
290, Kane Williamson,8,1,1.0,7,0,0/7,0,7.00,0,0,0
291, Y Gnaneswara Rao,2,1,1.0,7,0,0/0,0,7.00,0,0,0
292, Ambati Rayudu,109,1,3.0,22,0,0/0,0,7.33,0,0,0
293, Colin Munro,4,2,2.0,15,0,0/0,0,7.50,0,0,0
294, RS Gavaskar,2,1,1.0,8,0,0/0,0,8.00,0,0,0
295, Suryakumar Yadav,45,1,1.0,8,0,0/0,0,8.00,0,0,0
296, Abhishek Raut,22,6,7.0,57,0,0/0,0,8.14,0,0,0
297, Murali Vijay,100,4,6.0,49,0,0/0,0,8.16,0,0,0
298, Deepak Chahar,2,2,5.0,41,0,0/0,0,8.20,0,0,0
299, Adam Voges,9,7,9.0,76,0,0/0,0,8.44,0,0,0
300, K Goel,22,6,11.0,93,0,0/0,0,8.45,0,0,0
301, Daniel Harris,4,2,3.0,26,0,0/0,0,8.66,0,0,0
302, Krishnakant Upadhyay,3,3,9.0,81,0,0/0,0,9.00,0,0,0
303, Swapnil Singh,1,1,3.0,29,0,0/29,0,9.66,0,0,0
304, Sachin Tendulkar,78,4,6.0,58,0,0/0,0,9.66,0,0,0
305, Asad Pathan,8,3,6.3,63,0,0/0,0,9.69,0,0,0
306, Faiz Fazal,12,2,2.0,20,0,0/0,0,10.00,0,0,0
307, Kemar Roach,2,2,8.0,80,0,0/0,0,10.00,0,0,0
308, Abrar Kazi,1,1,2.0,21,0,0/21,0,10.50,0,0,0
309, RA Shaikh,1,1,1.0,11,0,0/11,0,11.00,0,0,0
310, Sean Abbott,2,2,5.0,57,0,0/0,0,11.40,0,0,0
311, VS Yeligati,2,2,5.0,59,0,0/0,0,11.80,0,0,0
312, Ben Rohrer,8,1,1.0,12,0,0/0,0,12.00,0,0,0
313, Ross Taylor,55,2,2.0,24,0,0/0,0,12.00,0,0,0
314, RR Bose,1,1,2.0,24,0,0/24,0,12.00,0,0,0
315, C Ganapathy,1,1,1.0,13,0,0/13,0,13.00,0,0,0
316, Abdur Razzak,1,1,2.0,29,0,0/29,0,14.50,0,0,0
317, Mashrafe Mortaza,1,1,4.0,58,0,0/58,0,14.50,0,0,0
318, Steve Smith,54,1,0.2,5,0,0/0,0,15.00,0,0,0
319, Michael Neser,1,1,4.0,62,0,0/62,0,15.50,0,0,0
320, Sunny Gupta,1,1,3.0,47,0,0/47,0,15.66,0,0,0
321, Francois du Plessis,51,1,1.0,16,0,0/0,0,16.00,0,0,0
322, S Sriram,2,2,3.0,49,0,0/0,0,16.33,0,0,0
323, Chamara Kapugedera,5,3,2.5,49,0,0/0,0,17.29,0,0,0
324, Raju Bhatkal,1,1,2.0,35,0,0/35,0,17.50,0,0,0
