overs,score,Batsman,Non-Strike Batsman,Bowler,Runs
0.0,0/0,RV Uthappa,G Gambhir,M Ashwin,no runs
0.1,0/0,RV Uthappa,G Gambhir,M Ashwin,extra
0.1,1/0,RV Uthappa,G Gambhir,M Ashwin,single
0.2,2/0,G Gambhir,RV Uthappa,M Ashwin,no runs
0.3,2/0,G Gambhir,RV Uthappa,M Ashwin,no runs
0.4,2/0,G Gambhir,RV Uthappa,M Ashwin,single
0.5,3/0,RV Uthappa,G Gambhir,M Ashwin,extra
0.5,4/0,RV Uthappa,G Gambhir,M Ashwin,no runs
1.0,4/0,G Gambhir,RV Uthappa,Ankit Sharma,single
1.1,5/0,RV Uthappa,G Gambhir,Ankit Sharma,six!!
1.2,11/0,RV Uthappa,G Gambhir,Ankit Sharma,single
1.3,12/0,G Gambhir,RV Uthappa,Ankit Sharma,no runs
1.4,12/0,G Gambhir,RV Uthappa,Ankit Sharma,six!!
1.5,18/0,G Gambhir,RV Uthappa,Ankit Sharma,four runs!
2.0,22/0,RV Uthappa,G Gambhir,R Ashwin,no runs
2.1,22/0,RV Uthappa,G Gambhir,R Ashwin,single
2.2,23/0,G Gambhir,RV Uthappa,R Ashwin,single
2.3,24/0,RV Uthappa,G Gambhir,R Ashwin,four runs!
2.4,28/0,RV Uthappa,G Gambhir,R Ashwin,four runs!
2.5,32/0,RV Uthappa,G Gambhir,R Ashwin,no runs
3.0,32/0,G Gambhir,RV Uthappa,SS Tiwary,out
3.1,32/1,SA Yadav,RV Uthappa,SS Tiwary,single
3.2,33/1,RV Uthappa,SA Yadav,SS Tiwary,no runs
3.3,33/1,RV Uthappa,SA Yadav,SS Tiwary,no runs
3.4,33/1,RV Uthappa,SA Yadav,SS Tiwary,no runs
3.5,33/1,RV Uthappa,SA Yadav,SS Tiwary,single
4.0,34/1,RV Uthappa,SA Yadav,R Bhatia,four runs!
4.1,38/1,RV Uthappa,SA Yadav,R Bhatia,no runs
4.2,38/1,RV Uthappa,SA Yadav,R Bhatia,six!!
4.3,44/1,RV Uthappa,SA Yadav,R Bhatia,no runs
4.4,44/1,RV Uthappa,SA Yadav,R Bhatia,no runs
4.5,44/1,RV Uthappa,SA Yadav,R Bhatia,single
5.0,45/1,RV Uthappa,SA Yadav,M Ashwin,single
5.1,46/1,SA Yadav,RV Uthappa,M Ashwin,four runs!
5.2,50/1,SA Yadav,RV Uthappa,M Ashwin,extra
5.2,51/1,SA Yadav,RV Uthappa,M Ashwin,no runs
5.3,51/1,SA Yadav,RV Uthappa,M Ashwin,single
5.4,52/1,RV Uthappa,SA Yadav,M Ashwin,no runs
5.5,52/1,RV Uthappa,SA Yadav,M Ashwin,single
6.0,53/1,RV Uthappa,SA Yadav,Ankit Sharma,no runs
6.1,53/1,RV Uthappa,SA Yadav,Ankit Sharma,no runs
6.2,53/1,RV Uthappa,SA Yadav,Ankit Sharma,single
6.3,54/1,SA Yadav,RV Uthappa,Ankit Sharma,four runs!
6.4,58/1,SA Yadav,RV Uthappa,Ankit Sharma,no runs
6.5,58/1,SA Yadav,RV Uthappa,Ankit Sharma,no runs
7.0,58/1,RV Uthappa,SA Yadav,R Ashwin,single
7.1,59/1,SA Yadav,RV Uthappa,R Ashwin,single
7.2,60/1,RV Uthappa,SA Yadav,R Ashwin,no runs
7.3,60/1,RV Uthappa,SA Yadav,R Ashwin,single
